developer,price,release_date
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Valve,9.99,2000
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Treyarch,19.99,2008
Saber Interactive,19.99,2007
Saber Interactive,19.99,2007
Wanako Games,9.99,2006
Radical Entertainment,19.99,2009
Radical Entertainment,19.99,2009
Radical Entertainment,19.99,2009
Radical Entertainment,19.99,2009
Radical Entertainment,19.99,2009
Radical Entertainment,19.99,2009
Radical Entertainment,19.99,2009
Radical Entertainment,19.99,2009
Radical Entertainment,19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
Trashmasters,11.99,2011
Trashmasters,11.99,2011
Trashmasters,11.99,2011
Trashmasters,11.99,2011
Trashmasters,11.99,2011
Trashmasters,11.99,2011
Trashmasters,11.99,2011
"Big Huge Games,38 Studios",19.99,2012
"Big Huge Games,38 Studios",19.99,2012
"Big Huge Games,38 Studios",19.99,2012
"Big Huge Games,38 Studios",19.99,2012
"Big Huge Games,38 Studios",19.99,2012
"Big Huge Games,38 Studios",19.99,2012
"Big Huge Games,38 Studios",19.99,2012
"Big Huge Games,38 Studios",19.99,2012
"Big Huge Games,38 Studios",19.99,2012
"Big Huge Games,38 Studios",19.99,2012
"Big Huge Games,38 Studios",19.99,2012
"Big Huge Games,38 Studios",19.99,2012
"Big Huge Games,38 Studios",19.99,2012
"Big Huge Games,38 Studios",19.99,2012
"Big Huge Games,38 Studios",19.99,2012
"Big Huge Games,38 Studios",19.99,2012
"Big Huge Games,38 Studios",19.99,2012
Robot Entertainment,9.99,2011
Robot Entertainment,9.99,2011
Robot Entertainment,9.99,2011
Robot Entertainment,9.99,2011
Robot Entertainment,9.99,2011
Robot Entertainment,9.99,2011
Red Duck Inc.,Free to Play,2011
