user_id,app_name,recommend,posted
Bennysaputra,Counter-Strike,True,2015
Monsta45,Counter-Strike,True,2015
76561198040188061,Counter-Strike,True,2011
mayshowganmore,Counter-Strike,True,2014
BestinTheWorldThund3r,Counter-Strike,True,2014
apex124,Counter-Strike,True,2014
76561198072207162,Counter-Strike,True,2014
timtam012,Counter-Strike,True,2014
chewyi,Counter-Strike,True,2014
Bigzy,Counter-Strike,True,2014
Monsta45,Counter-Strike,True,2015
peetsasucks,Counter-Strike,False,2015
shaman3soul3,Counter-Strike,True,2014
76561198015886143,Counter-Strike,True,2015
71251241,Counter-Strike,True,2015
maddoxx789,Counter-Strike,True,2012
lanatbeonakeehsasamokoshtan,Counter-Strike,True,2014
aman98,Counter-Strike,True,2015
76561198001699914,Counter-Strike,True,2013
OG1,Counter-Strike,True,2015
brahhhhcsgomatee,Counter-Strike,True,2015
pwnddumass,Counter-Strike,True,2014
NicolasNic,Counter-Strike,True,2014
Hype_R,Counter-Strike,True,2014
KILLERamateur,Counter-Strike,True,2014
LiberationestZ,Counter-Strike,True,2015
76561198082737449,Counter-Strike,True,2014
76561198085715384,Counter-Strike,True,2013
fuckingdinasaww,Counter-Strike,True,2014
mixadance,Counter-Strike,True,2012
TheRealChris02,Counter-Strike,True,2015
rekkler,Counter-Strike,True,2014
76561198134580826,Counter-Strike,True,2014
cumme,Counter-Strike,True,2015
7656319335278779,Counter-Strike,True,2015
waspish,Counter-Strike,True,2012
Katidis,Counter-Strike,True,2014
666_pl_Satan_pl_666,Counter-Strike,True,2013
officialrobo,Counter-Strike,True,2013
playergdgsd,Counter-Strike,True,2015
Junkieee,Counter-Strike,True,2014
amoocow,Counter-Strike,True,2014
epic_doom,Counter-Strike,True,2013
urami,Counter-Strike,True,2014
76561198056101934,Counter-Strike,True,2014
xboctisbest,Counter-Strike,True,2014
the_suicidal_psychomidget,Counter-Strike,True,2014
76561198076217855,Counter-Strike,True,2014
Tokiwadai,Counter-Strike,True,2015
inconi70,Counter-Strike,True,2014
76561198089673598,Counter-Strike,True,2014
JunglisJust-M-tlifewithmegg,Counter-Strike,True,2015
t1e57o,Counter-Strike,True,2013
76561198107235245,Counter-Strike,True,2013
76561198122904623,Counter-Strike,True,2015
nottynotty,Counter-Strike,True,2014
mizi,Counter-Strike,True,2015
76561198073508075,Call of Duty: World at War,True,2014
76561198110065267,Call of Duty: World at War,True,2015
gatorgolfing,Call of Duty: World at War,True,2013
DeliciousPuddin,Call of Duty: World at War,True,2015
JunG00berfuckingsucks,Call of Duty: World at War,True,2015
TheDetailedMovieTDM,Call of Duty: World at War,True,2015
MrSaberr,Call of Duty: World at War,True,2015
76561198094665607,Call of Duty: World at War,True,2013
76561198094665607,Call of Duty: World at War,True,2013
Zodiac011,Call of Duty: World at War,True,2014
76561198103389855,Call of Duty: World at War,True,2015
18228272828,Call of Duty: World at War,True,2014
JackalOfLight,Call of Duty: World at War,True,2015
e-a-g-l-e-s_eagles,Call of Duty: World at War,True,2014
fruity_ninja,Call of Duty: World at War,True,2013
Nexu-Kun,Call of Duty: World at War,True,2014
76561198060201321,Call of Duty: World at War,True,2013
ITISTHENUTSHACK,Call of Duty: World at War,True,2014
SuperExpertPlayer,Call of Duty: World at War,True,2014
Lolicon_Banzai,Call of Duty: World at War,True,2014
76561198057886565,Call of Duty: World at War,True,2015
Tyler_simpson,Call of Duty: World at War,True,2014
AZA1498,Call of Duty: World at War,True,2014
calstormgamer123,Call of Duty: World at War,True,2014
BuffinMutton,Call of Duty: World at War,True,2015
1MLG2U,Call of Duty: World at War,True,2015
EnviroReal,Call of Duty: World at War,True,2014
JimmyCheese,Call of Duty: World at War,True,2014
LordOfTheCringe,Call of Duty: World at War,True,2012
76561198091203454,Call of Duty: World at War,False,2015
mutanterex22,Call of Duty: World at War,True,2013
samdidit,Call of Duty: World at War,True,2014
76561198056474589,Call of Duty: World at War,True,2015
theproficy,Call of Duty: World at War,True,2015
76561198037337200,Call of Duty: World at War,True,2014
76561198040697106,Call of Duty: World at War,True,2015
xxrileyyzz,Call of Duty: World at War,True,2014
76561198048346071,Call of Duty: World at War,True,2014
jaydanred,Call of Duty: World at War,True,2015
76561198058927850,Call of Duty: World at War,True,2014
76561198059406203,Call of Duty: World at War,True,2015
